,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,index,namematch_collector,namematch_wikidata,namematch_distance
16599,Setchell,,,,,,,,Setchell,1,https://herbarium.bgbm.org/object/B200153925,10525,Setchell,"Setchell, W.A.",0.55
16785,Simonkai,,,,,,,,Simonkai,3,https://herbarium.bgbm.org/object/B100508549,360,Simonkai,"Simonkai, L.v.",0.55
16821,Sipman,H.J.M.,,,,,,,"Sipman, H.J.M.",466,https://herbarium.bgbm.org/object/B100144787,4056,"Sipman, H.J.M.","Sipman, H.",0.55
16873,Slobodian,H.,,,,,,,"Slobodian, H.",2,https://herbarium.bgbm.org/object/B100176933,399,"Slobodian, H.","Slobodian, M.P.",0.55
16903,Smith Lewis,R.I.,,,,,,,"Smith Lewis, R.I.",1,https://herbarium.bgbm.org/object/B600142671,10217,"Smith Lewis, R.I.","Lewis-Smith, R.I.",0.55
16969,Sodiro,A. cf Sodiro,,,,,,,"Sodiro, A. cf Sodiro",5,https://herbarium.bgbm.org/object/B200095280B,13532,"Sodiro, A. cf Sodiro","Sodiro, L.",0.55
17234,Staub,,,,,,,,Staub,1,https://herbarium.bgbm.org/object/B101142537,3941,Staub,"Staub, F.",0.55
17332,Sterzing,H.,,,,,,,"Sterzing, H.",4,https://je.jacq.org/JE00025096,16540,"Sterzing, H.","Sterzing, J.",0.55
17355,Stevens,A.,,,,,,,"Stevens, A.",1,https://herbarium.bgbm.org/object/B100181004,11095,"Stevens, A.","Stevens, M.",0.55
17450,Strauss,H.,,,,,,,"Strauss, H.",15,https://herbarium.bgbm.org/object/B100186679,8917,"Strauss, H.","Strauss, H.C.",0.55
17476,Strobl,G. Pater,,,,,,,"Strobl, G. Pater",15,https://je.jacq.org/JE00003610,10873,"Strobl, G. Pater","Strobl, G.",0.55
17477,Strobl,G.P.,,,,,,,"Strobl, G.P.",2,http://id.snsb.info/snsb/collection/25186/33964/24750,10673,"Strobl, G.P.","Strobl, G.",0.55
17564,Sukopp,U.,,,,,,,"Sukopp, U.",6,https://herbarium.bgbm.org/object/B100525806,8998,"Sukopp, U.","Sukopp, H.",0.55
17675,Sánchez,L.,,,,,,,"Sánchez, L.",6,https://herbarium.bgbm.org/object/B100392528,13943,"Sánchez, L.","Sánchez, L.M.",0.55
17680,Sánchez,S.,,,,,,,"Sánchez, S.",2,https://herbarium.bgbm.org/object/B100629322,9347,"Sánchez, S.","Sánchez, S.R.",0.55
17780,Taquet,T.,,,,,,,"Taquet, T.",2,http://id.snsb.info/snsb/collection/408062/477351/191946,15472,"Taquet, T.","Taquet, É.J.",0.55
18054,Timm,,,,,,,,Timm,1,http://id.snsb.info/snsb/collection/445771/546167/228671,11539,Timm,"Timm, G.",0.55
18084,Tixier,P.P.M.,,,,,,,"Tixier, P.P.M.",13,https://je.jacq.org/JE04003093,450,"Tixier, P.P.M.","Tixier, P.",0.55
18088,Tkachenko,V.,,,,,,,"Tkachenko, V.",1,https://herbarium.bgbm.org/object/B100327777,3440,"Tkachenko, V.","Tkachenko, K.",0.55
18117,Tomaselli,V.,,,,,,,"Tomaselli, V.",1,https://herbarium.bgbm.org/object/B101042646,4507,"Tomaselli, V.","Tomaselli, M.",0.55
18416,Uhlig,M.,,,,,,,"Uhlig, M.",2,https://herbarium.bgbm.org/object/B101185589,20139,"Uhlig, M.","Uhlig, J.",0.55
18468,Urban,R.,,,,,,,"Urban, R.",32,https://herbarium.bgbm.org/object/B100576603,19493,"Urban, R.","Urban, J.",0.55
18659,Vellinga,E.,,,,,,,"Vellinga, E.",1,https://herbarium.bgbm.org/object/B700008214,6413,"Vellinga, E.","Vellinga, E.C.",0.55
18742,Vicente,B.,,,,,,,"Vicente, B.",97,https://herbarium.bgbm.org/object/B100039483,7860,"Vicente, B.","Vicente, A.",0.55
18838,Visch,,,,,,,,Visch,1,https://herbarium.bgbm.org/object/B600166807,18340,Visch,"Visch, L.",0.55
18884,Voigt,D.,,,,,,,"Voigt, D.",2,https://herbarium.bgbm.org/object/B31018401,4421,"Voigt, D.","Voigt, (.A.",0.55
18896,Vold,,,,,,,,Vold,1,https://herbarium.bgbm.org/object/B180021103,12641,Vold,"Vold, G.",0.55
18961,Vánky,T.J.,,,,,,,"Vánky, T.J.",1,https://herbarium.bgbm.org/object/B100116435,4734,"Vánky, T.J.","Vánky, T.",0.55
19008,Wagner,J.R.,,,,,,,"Wagner, J.R.",3,https://herbarium.bgbm.org/object/B100157542,8681,"Wagner, J.R.","Wagner, J.",0.55
19048,Wallace,R.,,,,,,,"Wallace, R.",1,https://je.jacq.org/JE04000352,19753,"Wallace, R.","Wallace, R.S.",0.55
19079,Walther,H.,,,,,,,"Walther, H.",13,https://dr.jacq.org/DR048824,16455,"Walther, H.","Walther, A.",0.55
19188,Webster,G.L.,,,,,,,"Webster, G.L.",6,https://herbarium.bgbm.org/object/B100146510,14921,"Webster, G.L.","Webster, G.",0.55
19213,Weigand,,,,,,,,Weigand,2,https://herbarium.bgbm.org/object/B101204635,19858,Weigand,"Weigand, A.M.",0.55
625,Whistler,Art,,,,,,,"Whistler, Art",3,https://herbarium.bgbm.org/object/B100062298,540,"Whistler, Art","Whistler, Arthur",0.55
19390,White,R.,,,,,,,"White, R.",3,https://herbarium.bgbm.org/object/B101161497,17245,"White, R.","White, R.A.",0.55
19431,Wiehler,H.J.,,,,,,,"Wiehler, H.J.",13,http://id.snsb.info/snsb/collection/479541/590583/260520,8940,"Wiehler, H.J.","Wiehler, H.",0.55
19479,Wilcox,,,,,,,,Wilcox,2,https://herbarium.bgbm.org/object/B100191440,14017,Wilcox,"Wilcox, M.A.",0.55
19592,Winkler,R.,,,,,,,"Winkler, R.",1,https://dr.jacq.org/DR032959,3962,"Winkler, R.","Winkler, M.",0.55
19731,Woynar,H.,,,,,,,"Woynar, H.",3,https://herbarium.bgbm.org/object/B200026349,16383,"Woynar, H.","Woynar, H.K.",0.55
19747,Wright,J.K.,,,,,,,"Wright, J.K.",1,https://herbarium.bgbm.org/object/B100005488,2188,"Wright, J.K.","Wright, J.",0.55
19748,Wright,R.,,,,,,,"Wright, R.",2,http://id.snsb.info/snsb/collection/463725/565064/242572,8467,"Wright, R.","Wright, J.",0.55
19899,Zamora,A.,,,,,,,"Zamora, A.",1,https://herbarium.bgbm.org/object/B101144475,17611,"Zamora, A.","Zamora, R.",0.55
20164,Čelakovský,,,,,,,,Čelakovský,1,https://dr.jacq.org/DR049067,5151,Čelakovský,"Čelakovský, L.J.",0.55
68,Adams,J.G.,,,,,,,"Adams, J.G.",1,https://herbarium.bgbm.org/object/B100168531,5585,"Adams, J.G.","Adams, J.",0.56
232,Alcântara,H.,,,,,,,"Alcântara, H.",1,https://herbarium.bgbm.org/object/B100608777,8647,"Alcântara, H.","Alcántara, A.E.",0.56
330,Alvarez,L.,,,,,,,"Alvarez, L.",8,http://id.snsb.info/snsb/collection/502438/623672/281228,19796,"Alvarez, L.","Alvarez, L.V.",0.56
390,Anderson,A.C.,,,,,,,"Anderson, A.C.",1,https://herbarium.bgbm.org/object/B101115508,6367,"Anderson, A.C.","Anderson, A.",0.56
391,Anderson,C.,,,,,,,"Anderson, C.",1,https://herbarium.bgbm.org/object/B101210803,12753,"Anderson, C.","Anderson, C.L.",0.56
474,Ansorge,B.,,,,,,,"Ansorge, B.",2,https://herbarium.bgbm.org/object/B101142493,4512,"Ansorge, B.","Ansorge, C.",0.56
538,Araujo,D.S.D.,,,,,,,"Araujo, D.S.D.",2,https://herbarium.bgbm.org/object/B100086848,12559,"Araujo, D.S.D.","Araujo, D.S.D.d.",0.56
589,Arnaud,P.H.,,,,,,,"Arnaud, P.H.",1,https://herbarium.bgbm.org/object/B100239828,18742,"Arnaud, P.H.","Arnaud, P.",0.56
639,Arzt,M.,,,,,,,"Arzt, M.",1,https://herbarium.bgbm.org/object/B700002552,5047,"Arzt, M.","Arzt, L.",0.56
739,Axell,,,,,,,,Axell,1,https://herbarium.bgbm.org/object/B100749062,10079,Axell,"Axell, J.S.",0.56
814,Bailey,J.,,,,,,,"Bailey, J.",4,https://herbarium.bgbm.org/object/B101201986,2197,"Bailey, J.","Bailey, J.F.",0.56
871,Ballay,,,,,,,,Ballay,1,https://herbarium.bgbm.org/object/B100184990,3499,Ballay,"Ballay, N.",0.56
933,Barbour,P.,,,,,,,"Barbour, P.",2,http://id.snsb.info/snsb/collection/25658/34436/25222,5584,"Barbour, P.","Barbour, M.",0.56
1040,Bastos,,,,,,,,Bastos,1,https://herbarium.bgbm.org/object/B100603410,13970,Bastos,"Bastos, C.A.",0.56
1141,Beck,,,,,,,,Beck,38,https://herbarium.bgbm.org/object/B100004283,7661,Beck,"Beck, A.",0.56
1272,Bequaert,J.C.C.,,,,,,,"Bequaert, J.C.C.",23,https://je.jacq.org/JE04005388,18389,"Bequaert, J.C.C.","Bequaert, J.C.",0.56
1605,Blittersdorff,R. von,,,,,,,"Blittersdorff, R. von",12,https://herbarium.bgbm.org/object/B100426939,4431,"Blittersdorff, R. von","Blittersdorff, R.v.",0.56
1617,Blume,,,,,,,,Blume,3,https://dr.jacq.org/DR049544,6232,Blume,"Blume, C.L.",0.56
1704,Bojko,E.,,,,,,,"Bojko, E.",1,https://herbarium.bgbm.org/object/B100355632,11377,"Bojko, E.","Bojko, J.",0.56
1780,Boorman,L.,,,,,,,"Boorman, L.",1,https://herbarium.bgbm.org/object/B100296874,14479,"Boorman, L.","Boorman, J.",0.56
1862,Boss,,,,,,,,Boss,1,https://herbarium.bgbm.org/object/B101068232,16225,Boss,"Boss, W.",0.56
2016,Braun,J.M.,,,,,,,"Braun, J.M.",11,http://id.snsb.info/snsb/collection/489193/601429/271077,16364,"Braun, J.M.","Braun, J.",0.56
2312,Bunge,A.A.,,von,,,,,"Bunge, A.A.",111,http://id.snsb.info/snsb/collection/504227/625496/283004,1980,"Bunge, A.A.","Bunge, A.",0.56
2334,Burgos,D.,,,,,,,"Burgos, D.",1,https://herbarium.bgbm.org/object/B200220214,14728,"Burgos, D.","Burgos, A.",0.56
2574,Calderón,M.,,,,,,,"Calderón, M.",76,https://herbarium.bgbm.org/object/B100031063,1130,"Calderón, M.","Calderón, S.",0.56
2592,Callé,,,,,,,,Callé,1,https://herbarium.bgbm.org/object/B100484448,10726,Callé,"Callé, J.",0.56
2631,Campos,,,,,,,,Campos,2,https://herbarium.bgbm.org/object/B100032765,4188,Campos,"Campos, M.M.",0.56
2645,Campos,W.,,,,,,,"Campos, W.",9,https://herbarium.bgbm.org/object/B100041743,19525,"Campos, W.","Campos, W.R.",0.56
2647,Camus,F.A.,,,,,,,"Camus, F.A.",1,https://je.jacq.org/JE04003265,5023,"Camus, F.A.","Camus, F.",0.56
2865,Cavalerie,,,,,,,,Cavalerie,1,https://dr.jacq.org/DR068495,19190,Cavalerie,"Cavalerie, P.J.",0.56
94,Chang,Zhao Y.,,,,,,,"Chang, Zhao Y.",21,http://id.snsb.info/snsb/collection/469321/575624/248273,535,"Chang, Zhao Y.","Chang, Zhao Yang",0.56
3003,Chaverri,P.,,,,,,,"Chaverri, P.",3,https://herbarium.bgbm.org/object/B600050945,19231,"Chaverri, P.","Chaverri, A.",0.56
3019,Cheeseman,T.F.,,,,,,,"Cheeseman, T.F.",2,http://id.snsb.info/snsb/collection/490990/603226/272874,11745,"Cheeseman, T.F.","Cheeseman, T.",0.56
3128,Christy,,,,,,,,Christy,1,https://herbarium.bgbm.org/object/B180009392,18607,Christy,"Christy, C.M.",0.56
3307,Conrad,A.,,,,,,,"Conrad, A.",1,https://herbarium.bgbm.org/object/B100159997,9122,"Conrad, A.","Conrad, J.",0.56
3343,Cooper,J.J.,,,,,,,"Cooper, J.J.",8,http://id.snsb.info/snsb/collection/195011/478984/176787,7255,"Cooper, J.J.","Cooper, J.",0.56
108,Cornaz,Charles Auguste Edouard,,,,,,,"Cornaz, Charles Auguste Edouard",1,https://herbarium.bgbm.org/object/B100629097,615,"Cornaz, Charles Auguste Edouard","Cornaz, Charles Auguste Édouard",0.56
3399,Cortés,J.,,,,,,,"Cortés, J.",3,https://herbarium.bgbm.org/object/B101144351,7144,"Cortés, J.","Cortés, J.E.",0.56
3548,Cullen,S.,,,,,,,"Cullen, S.",3,https://herbarium.bgbm.org/object/B101152055,9689,"Cullen, S.","Cullen, J.",0.56
3691,Daniell,,,,,,,,Daniell,1,https://herbarium.bgbm.org/object/B100630559,6986,Daniell,"Daniel, (.",0.56
3979,Dilcher,D.,,,,,,,"Dilcher, D.",1,http://id.snsb.info/snsb/collection/503368/624622/282143,16759,"Dilcher, D.","Dilcher, D.L.",0.56
4155,Dromer,E.,,,,,,,"Dromer, E.",1,https://herbarium.bgbm.org/object/B100629092,5441,"Dromer, E.","Dromer, J.",0.56
4189,Duarte,,,,,,,,Duarte,16,https://herbarium.bgbm.org/object/B100002331,9237,Duarte,"Duarte, M.C.",0.56
4199,Dubovik,O.,,,,,,,"Dubovik, O.",1,https://herbarium.bgbm.org/object/B100327775,10372,"Dubovik, O.","Dubovik, O.N.",0.56
4320,Dyer,R.,,,,,,,"Dyer, R.",20,https://herbarium.bgbm.org/object/B100041297,11175,"Dyer, R.","Dyer, R.A.",0.56
4424,Eckhardt,,,,,,,,Eckhardt,71,https://dr.jacq.org/DR058292,1022,Eckhardt,"Eckhardt, L.G.",0.56
4771,Everett,P.,,,,,,,"Everett, P.",1,https://herbarium.bgbm.org/object/B100089510,11557,"Everett, P.","Everett, J.",0.56
5048,Finlay,K.,,,,,,,"Finlay, K.",1,https://herbarium.bgbm.org/object/B100244659,7630,"Finlay, K.","Finlay, J.",0.56
5091,Flanagan,,,,,,,,Flanagan,2,https://herbarium.bgbm.org/object/B100003374,15265,Flanagan,"Flanagan, H.G.",0.56
5112,Fleming,G.,,,,,,,"Fleming, G.",1,https://herbarium.bgbm.org/object/B100185578,5067,"Fleming, G.","Fleming, G.P.",0.56
5197,Ford,,,,,,,,Ford,4,https://herbarium.bgbm.org/object/B180002418,12853,Ford,"Ford, M.",0.56
5240,Foster,R.,,,,,,,"Foster, R.",11,https://herbarium.bgbm.org/object/B100247547,18585,"Foster, R.","Foster, R.A.",0.56
5252,Fox,H.,,,,,,,"Fox, H.",1,https://herbarium.bgbm.org/object/B100848925,669,"Fox, H.","Fox, H.E.",0.56
5269,Francis,R.,,,,,,,"Francis, R.",2,https://herbarium.bgbm.org/object/B100375514,16894,"Francis, R.","Francis, F.",0.56
5284,Franken,M.,,,,,,,"Franken, M.",1,https://herbarium.bgbm.org/object/B100740077,1625,"Franken, M.","Franken, P.",0.56
5651,García,P.A.,,,,,,,"García, P.A.",2,https://herbarium.bgbm.org/object/B100035571,9662,"García, P.A.","García, P.",0.56
5674,Garnier,J.,,,,,,,"Garnier, J.",1,https://herbarium.bgbm.org/object/B101014792,8208,"Garnier, J.","Garnier, M.",0.56
5789,Gentile,G.,,,,,,,"Gentile, G.",1,https://herbarium.bgbm.org/object/B101204753,19781,"Gentile, G.","Gentile, R.",0.56
5815,Gerhard,W.,,,,,,,"Gerhard, W.",16,https://je.jacq.org/JE00014188,1974,"Gerhard, W.","Gerhard, W.J.",0.56
5826,Germain,P.,,,,,,,"Germain, P.",52,https://je.jacq.org/JE04005369,9194,"Germain, P.","Germain, H.",0.56
5944,Gilman,A.,,,,,,,"Gilman, A.",1,https://herbarium.bgbm.org/object/B101152560,16927,"Gilman, A.","Gilman, A.C.",0.56
5950,Ginns,,,,,,,,Ginns,1,https://herbarium.bgbm.org/object/B700003726,11507,Ginns,"Ginns, J.H.",0.56
6025,Goeldi,A.,,,,,,,"Goeldi, A.",4,https://herbarium.bgbm.org/object/B180000955,2251,"Goeldi, A.","Goeldi, E.",0.56
6387,Gruber,A.K.,,,,,,,"Gruber, A.K.",5,https://herbarium.bgbm.org/object/B100759735,9933,"Gruber, A.K.","Gruber, A.",0.56
6389,Gruber,J.P.,,,,,,,"Gruber, J.P.",1,http://id.snsb.info/snsb/collection/469611/575914/248563,5742,"Gruber, J.P.","Gruber, J.",0.56
6548,Guttiérrez,J.,,,,,,,"Guttiérrez, J.",4,https://herbarium.bgbm.org/object/B100357053,19868,"Guttiérrez, J.","Gutiérrez, J.",0.56
6771,Hama,,,,,,,,Hama,1,https://herbarium.bgbm.org/object/B180009221,17097,Hama,"Hama, E.",0.56
6935,Hartmann,T.,,,,,,,"Hartmann, T.",1,https://dr.jacq.org/DR044995,13966,"Hartmann, T.","Hartmann, A.",0.56
7214,Henderson,D.,,,,,,,"Henderson, D.",1,https://herbarium.bgbm.org/object/BGT0003840,4057,"Henderson, D.","Henderson, A.",0.56
7301,Hermann,A.,,,,,,,"Hermann, A.",15,https://herbarium.bgbm.org/object/BGT0000412,6700,"Hermann, A.","Hermann, J.",0.56
7348,Herrera,C.,,,,,,,"Herrera, C.",1,https://herbarium.bgbm.org/object/B101112465,4167,"Herrera, C.","Herrera, C.M.",0.56
7370,Herscovitch,C.,,,,,,,"Herscovitch, C.",2,http://id.snsb.info/snsb/collection/670425/729919/376748,18449,"Herscovitch, C.","Herscovitch, J.C.",0.56
7464,Hieronymus,G.,,,,,,,"Hieronymus, G.",62,https://herbarium.bgbm.org/object/B101185265,5515,"Hieronymus, G.","Hieronymus, G.H.E.W.",0.56
7503,Hilpert,,,,,,,,Hilpert,1,https://dr.jacq.org/DR015745,7813,Hilpert,"Hilpert, F.W.",0.56
7596,Hoffmann,O.,,,,,,,"Hoffmann, O.",5,https://herbarium.bgbm.org/object/B100535301,14893,"Hoffmann, O.","Hoffmann, A.",0.56
7652,Holliday,I.G.,,,,,,,"Holliday, I.G.",2,https://herbarium.bgbm.org/object/B100030879,17148,"Holliday, I.G.","Holliday, I.",0.56
7669,Holmberg,,,,,,,,Holmberg,1,https://herbarium.bgbm.org/object/B180019859,6867,Holmberg,"Holmberg, E.L.",0.56
7672,Holmen,K.,,,,,,,"Holmen, K.",1,https://herbarium.bgbm.org/object/B100127407,1715,"Holmen, K.","Holmen, K.A.",0.56
7735,Hooks,,,,,,,,Hooks,2,https://herbarium.bgbm.org/object/B100025831,6021,Hooks,"Hooks, C.H.",0.56
7884,Humbert,H.,,,,,,,"Humbert, H.",344,http://id.snsb.info/snsb/collection/19589/28368/19409,6441,"Humbert, H.","Humbert, J.",0.56
7922,Hurtado,R.,,,,,,,"Hurtado, R.",7,https://herbarium.bgbm.org/object/B100711201,8836,"Hurtado, R.","Hurtado, C.",0.56
7997,Hölzer,U.,,,,,,,"Hölzer, U.",5,https://herbarium.bgbm.org/object/B700011186,19337,"Hölzer, U.",Hölzer,0.56
8134,Isaac,,,,,,,,Isaac,1,https://herbarium.bgbm.org/object/B101185519,13650,Isaac,"Isaac, I.",0.56
8144,Ismail,S.,,,,,,,"Ismail, S.",390,https://herbarium.bgbm.org/object/B100517370,15289,"Ismail, S.","Ismail, R.",0.56
8154,Ivanova,P.,,,,,,,"Ivanova, P.",2,https://herbarium.bgbm.org/object/B100147064,18267,"Ivanova, P.","Ivanova, M.",0.56
8166,Jaap,,,,,,,,Jaap,1,https://herbarium.bgbm.org/object/B101050848,16804,Jaap,"Jaap, O.",0.56
8207,Jacquin,N.,,,,,,,"Jacquin, N.",1,http://id.snsb.info/snsb/collection/21632/30410/21451,4808,"Jacquin, N.","Jacquin, H.",0.56
8311,Jaramillo,M.R.,,,,,,,"Jaramillo, M.R.",1,https://herbarium.bgbm.org/object/B100088458,6726,"Jaramillo, M.R.","Jaramillo, M.A.",0.56
8359,Jennings,L.,,,,,,,"Jennings, L.",1,https://herbarium.bgbm.org/object/B101189316,15663,"Jennings, L.","Jennings, S.",0.56
8446,Johnson,S.,,,,,,,"Johnson, S.",4,http://id.snsb.info/snsb/collection/652289/709004/357962,4236,"Johnson, S.","Johnson, J.",0.56
8599,Kaalaas,B.B.L.,,,,,,,"Kaalaas, B.B.L.",9,https://je.jacq.org/JE04003180,10993,"Kaalaas, B.B.L.","Kaalaas, B.",0.56
8616,Kaiser,,,,,,,,Kaiser,1,https://herbarium.bgbm.org/object/B180012561,1884,Kaiser,"Kaiser, H.E.",0.56
8661,Kammerer,P.,,,,,,,"Kammerer, P.",7,https://herbarium.bgbm.org/object/B101149178,17549,"Kammerer, P.","Kammerer, G.",0.56
8831,Kemp,R.H.,,,,,,,"Kemp, R.H.",8,https://herbarium.bgbm.org/object/B180010592,13516,"Kemp, R.H.","Kemp, R.",0.56
9055,Klemme,W.,,,,,,,"Klemme, W.",2,http://id.snsb.info/snsb/collection/646010/701070/351660,18705,"Klemme, W.","Klemme, J.",0.56
9091,Klotz,L.,,,,,,,"Klotz, L.",1,https://herbarium.bgbm.org/object/B100273063,12279,"Klotz, L.","Klotz, L.J.",0.56
9199,Koeppen,F.,,,,,,,"Koeppen, F.",3,https://dr.jacq.org/DR047659,12810,"Koeppen, F.","Koeppen, N.",0.56
9227,Kolb,,,,,,,,Kolb,2,http://id.snsb.info/snsb/collection/614601/666498/318554,5323,Kolb,"Kolb, M.",0.56
9236,Kollmann,W.,,,,,,,"Kollmann, W.",626,https://dr.jacq.org/DR010024,191,"Kollmann, W.","Kollmann, R.",0.56
9253,Konowalik,D.,,,,,,,"Konowalik, D.",4,https://herbarium.bgbm.org/object/B100464201,5543,"Konowalik, D.","Konowalik, K.",0.56
9352,Kraft,H.,,,,,,,"Kraft, H.",101,https://herbarium.bgbm.org/object/B100076303,14412,"Kraft, H.","Kraft, J.",0.56
9916,Larsson,E.,,,,,,,"Larsson, E.",1,https://herbarium.bgbm.org/object/B101137434,9899,"Larsson, E.","Larsson, A.",0.56
9918,Larsson,S.,,,,,,,"Larsson, S.",3,https://herbarium.bgbm.org/object/B100076098,12105,"Larsson, S.","Larsson, A.",0.56
10061,Lefroy,C.,,,,,,,"Lefroy, C.",1,https://herbarium.bgbm.org/object/B100295186,10740,"Lefroy, C.","Lefroy, H.",0.56
10066,Lehmann,B.,,,,,,,"Lehmann, B.",5,https://herbarium.bgbm.org/object/B100198662,14351,"Lehmann, B.","Lehmann, A.",0.56
10075,Lehmann,W.,,,,,,,"Lehmann, W.",1,https://herbarium.bgbm.org/object/B200070407,18375,"Lehmann, W.","Lehmann, A.",0.56
10084,Leibold,,,,,,,,Leibold,8,https://dr.jacq.org/DR074321,6436,Leibold,"Leibold, F.E.",0.56
10101,Leistner,O.,,,,,,,"Leistner, O.",2,https://herbarium.bgbm.org/object/B100168650,18458,"Leistner, O.","Leistner, O.A.",0.56
10126,Lemmon,,,,,,,,Lemmon,1,https://herbarium.bgbm.org/object/B100279416,13293,Lemmon,"Lemmon, J.G.",0.56
10159,Leonhardi,,,,,,,,Leonhardi,2,https://herbarium.bgbm.org/object/B200129397b,11886,Leonhardi,"Leonhardi, H.K.",0.56
10189,Lerch,J.F.,,,,,,,"Lerch, J.F.",6,https://je.jacq.org/JE00017630,7311,"Lerch, J.F.","Lerch, J.",0.56
10317,Lightowlers,D.,,,,,,,"Lightowlers, D.",11,https://herbarium.bgbm.org/object/B100158031,10536,"Lightowlers, D.","Lightowlers, P.J.",0.56
10606,Louis,J.,,,,,,,"Louis, J.",101,http://id.snsb.info/snsb/collection/16947/25726/16767,18247,"Louis, J.","Louis, A.",0.56
10657,Ludwig,E.,,,,,,,"Ludwig, E.",10,https://herbarium.bgbm.org/object/B700005031,12172,"Ludwig, E.","Ludwig, A.",0.56
10849,Maassoumi,F.,,,,,,,"Maassoumi, F.",3,http://id.snsb.info/snsb/collection/468871/575174/247823,9535,"Maassoumi, F.","Maassoumi, A.A.",0.56
10859,MacDougall,J.,,,,,,,"MacDougall, J.",4,https://herbarium.bgbm.org/object/B100184195,2374,"MacDougall, J.","MacDougal, J.M.",0.56
10865,MacGregor,R.C.,,,,,,,"MacGregor, R.C.",1,http://id.snsb.info/snsb/collection/652146/708861/357811,20019,"MacGregor, R.C.","MacGregor, R.W.",0.56
11125,Margot,J.,,,,,,,"Margot, J.",2,https://herbarium.bgbm.org/object/B100024139,9518,"Margot, J.","Margot, H.",0.56
11211,Martinez,M.,,,,,,,"Martinez, M.",2,https://herbarium.bgbm.org/object/B100076594,14434,"Martinez, M.","Martinez, M.R.",0.56
11218,Martino,A.,,Di,,,,,"Martino, A.",2,https://herbarium.bgbm.org/object/B100183867,19037,"Martino, A.","Martino, A.D.",0.56
11387,Maximova,A.,,,,,,,"Maximova, A.",2,https://herbarium.bgbm.org/object/B100548246,12685,"Maximova, A.","Maximova, M.I.",0.56
11455,McCune,B.,,,,,,,"McCune, B.",1,https://herbarium.bgbm.org/object/B600325529,4561,"McCune, B.","McCune, B.P.",0.56
11617,Meneses,R.,,,,,,,"Meneses, R.",4,https://herbarium.bgbm.org/object/B100740142,8139,"Meneses, R.","Meneses, R.I.",0.56
11660,Merrill,,,,,,,,Merrill,34,https://herbarium.bgbm.org/object/B180002034,1776,Merrill,"Merrill, J.A.",0.56
11855,Mischler,T.,,,,,,,"Mischler, T.",1,http://id.snsb.info/snsb/collection/195148/479133/176924,14494,"Mischler, T.","Mischler, T.C.",0.56
11952,Monro,A.,,,,,,,"Monro, A.",350,https://herbarium.bgbm.org/object/B100015786,6642,"Monro, A.","Monro, A.K.",0.56
416,Müller,Carl,,,,,,,"Müller, Carl",1,https://herbarium.bgbm.org/object/B100555232,633,"Müller, Carl","Müller, Carla",0.56
12466,Navarrete,N.,,,,,,,"Navarrete, N.",13,https://herbarium.bgbm.org/object/B100032134,8389,"Navarrete, N.","Navarrete, H.",0.56
12482,Neal,M.,,,,,,,"Neal, M.",1,https://herbarium.bgbm.org/object/B100365610,11621,"Neal, M.","Neal, M.C.",0.56
12645,Niemann,R.,,,,,,,"Niemann, R.",8,https://dr.jacq.org/DR058077,2828,"Niemann, R.","Niemann, G.",0.56
12844,O'Neill,H.,,,,,,,"O'Neill, H.",3,https://dr.jacq.org/DR058643,8371,"O'Neill, H.","O'Neill, H.T.",0.56
12852,Obando,M.,,,,,,,"Obando, M.",1,https://herbarium.bgbm.org/object/B200211641,12109,"Obando, M.","Obando, S.",0.56
12895,Oehme,W.,,,,,,,"Oehme, W.",1,https://dr.jacq.org/DR014164,13540,"Oehme, W.","Oehme, H.",0.56
12996,Onishi,E.,,,,,,,"Onishi, E.",3,https://herbarium.bgbm.org/object/B100086883,18054,"Onishi, E.","Onishi, S.",0.56
13043,Ortega,V.,,,,,,,"Ortega, V.",5,https://herbarium.bgbm.org/object/B101209955,10065,"Ortega, V.","Ortega, A.",0.56
13054,Ortiz,P.,,,,,,,"Ortiz, P.",1,https://herbarium.bgbm.org/object/B101159113,4049,"Ortiz, P.","Ortiz, P.L.",0.56
13246,Pančić,,,,,,,,Pančić,1,https://herbarium.bgbm.org/object/B100555272,1698,Pančić,"Pančić, J.",0.56
13391,Pavlova,G.,,,,,,,"Pavlova, G.",1,https://herbarium.bgbm.org/object/B100263149,1806,"Pavlova, G.","Pavlova, N.",0.56
13448,Pedrol,C.,,,,,,,"Pedrol, C.",1,https://herbarium.bgbm.org/object/B101206120,8258,"Pedrol, C.","Pedrol, J.",0.56
13504,Pereira,A.,,,,,,,"Pereira, A.",19,https://herbarium.bgbm.org/object/B100040252,6387,"Pereira, A.","Pereira, A.B.",0.56
13538,Perrottet,,,,,,,,Perrottet,3,https://dr.jacq.org/DR058615,2687,Perrottet,"Perrottet, G.S.",0.56
13603,Petitmengin,M.,,,,,,,"Petitmengin, M.",1,https://herbarium.bgbm.org/object/B100218812,12843,"Petitmengin, M.","Petitmengin, M.G.C.",0.56
13724,Pickering,H.,,,,,,,"Pickering, H.",1,https://herbarium.bgbm.org/object/B101189191,8625,"Pickering, H.","Pickering, J.",0.56
13779,Pineda,G.,,,,,,,"Pineda, G.",68,https://herbarium.bgbm.org/object/B100043040,5994,"Pineda, G.","Pineda, A.",0.56
